ID,AGE,WEIGHT,MASS,HEIGHT
49,27,677.3,69,175
101,27,761,77.6,174
151,23,603.2,61.5,171
149,26,717.2,73.1,165
184,26,616.4,62.8,154
113,23,653.6,66.6,176
81,29,566.7,57.8,162
115,22,632.7,64.5,175
204,16,563.1,57.4,163
4,28,553.2,56.4,175
196,25,658.9,67.2,162
136,26,536.6,54.7,165
