ID,AGE,WEIGHT,MASS,HEIGHT
211,51,629.7,64.2,155
187,55,929.5,94.8,173
6,51,786.4,80.2,171
17,50,617.1,62.9,169
95,52,1060.5,108.1,170
172,55,658.9,67.2,167
42,67,770.2,78.5,160
98,55,536.5,54.7,161
193,54,542.4,55.3,159
16,52,990,100.9,166
30,51,627.5,64,164
68,55,599.9,61.2,172
