LAPAFI_young;LAPAFI_adult;LAPAFI_olderadult;;;;;;;;
4.75298388;4.192789549;3.910155189;;;;;LAPAFI_young;4.75298388;9.60E-05;1
9.60E-05;0.000376778;0.000750673;;;;;LAPAFI_adult;4.192789549;0.000376778;1
1;1;1;;;;;LAPAFI_olderadult;3.910155189;0.000750673;1
