LAPAFI_young;LAPAFI_adult;LAPAFI_olderadult;;;;;;;;
-3.060251615;-2.377514069;-1.5706183;;;;;;;;
0.005733026;0.026546848;0.130543561;;;;;LAPAFI_young;-3.060251615;0.005733026;1
1;0;0;;;;;LAPAFI_adult;-2.377514069;0.026546848;0
;;;;;;;LAPAFI_olderadult;-1.5706183;0.130543561;0
