LAPAFI_young;LAPAFI_adult;LAPAFI_olderadult;;;;;;;;
5.221371436;4.044021621;3.629940412;;;;;;;;
3.09E-05;0.000541758;0.00148063;;;;;;;;
1;1;1;;;;;LAPAFI_young;5.221371436;3.09E-05;1
;;;;;;;LAPAFI_adult;4.044021621;0.000541758;1
;;;;;;;LAPAFI_olderadult;3.629940412;0.00148063;1
