GAITRECyoung_adult_1,GAITRECyoung_adult_2,GAITRECyoung_olderadult_1,GAITRECyoung_olderadult_2,GAITRECadult_olderadult_1,GAITRECadult_olderadult_2,LAPAFI_young_1,LAPAFI_young_2,LAPAFI_adult_1,LAPAFI_adult_2,LAPAFI_olderadult_1,LAPAFI_olderadult_2
3,22,3,22,3,22,3,22,3,22,3,22
2.51908564200408,,0.92736873675195,,6.55042862618704,,44.7528485859379,,38.9313977225415,,44.7528485859379,
0.527862739906044,,0.838452121868299,,0.148691777681548,,4.68096392139961e-05,,0.000114165881104911,,4.68096392139961e-05,
